content,nature,fake_probability,source,publish_time,process_time
【演示数据·合成】网传本地水源被污染，紧急扩散通知亲友囤水，据说官方已封锁消息。,虚假,,演示训练数据（合成样例）,2026-08-01 09:00:00,
【演示数据·合成】网传某超市免费送鸡蛋是骗局，转发就能领，实际上是为了收集个人信息。,虚假,,演示训练数据（合成样例）,2026-08-02 10:00:00,
【演示数据·合成】听说某地明天要大停电，据说消息来自内部人士，请大家紧急扩散。,虚假,,演示训练数据（合成样例）,2026-08-03 09:00:00,
【演示数据·合成】网传吃某种野果可以治百病，不少群里都在转发，经查并无科学依据。,虚假,,演示训练数据（合成样例）,2026-08-04 11:00:00,
【演示数据·合成】紧急扩散：网传高速路口今天起全面收费上调，请互相转告。,虚假,,演示训练数据（合成样例）,2026-08-05 08:30:00,
【演示数据·合成】网传学校明天停课一周，据说是因为有突发事件，家长群里都在传。,虚假,,演示训练数据（合成样例）,2026-08-06 07:50:00,
【演示数据·合成】听说某种洗发水含有害物质会致癌，网传检测报告实为拼凑伪造。,虚假,,演示训练数据（合成样例）,2026-08-07 13:00:00,
【演示数据·合成】网传扫码就能领取补贴，实为冒充官方的钓鱼骗局，请勿轻信。,虚假,,演示训练数据（合成样例）,2026-08-08 15:00:00,
【演示数据·合成】据说某品牌牛奶明天全线召回，网传消息无任何官方来源。,虚假,,演示训练数据（合成样例）,2026-08-09 16:00:00,
【演示数据·合成】紧急扩散：网传今晚将有特大暴雨淹没城区，气象部门并未发布该消息。,虚假,,演示训练数据（合成样例）,2026-08-10 17:00:00,
【演示数据·合成】网传小区附近出现人贩子出没，警方表示未接到相关报警，请勿传谣。,虚假,,演示训练数据（合成样例）,2026-08-11 08:00:00,
【演示数据·合成】听说某医院门诊今天起全面停诊，网传通知系伪造，院方已辟谣。,虚假,,演示训练数据（合成样例）,2026-08-12 09:30:00,
【演示数据·合成】市公交集团发布公告，地铁三号线本月二十日起延长运营至二十三时。,真实,,演示训练数据（合成样例）,2026-08-13 09:00:00,
【演示数据·合成】市气象台今日发布大风蓝色预警，官方提醒市民注意防范。,真实,,演示训练数据（合成样例）,2026-08-14 10:00:00,
【演示数据·合成】本校教务处官网发布通知，期中考试安排已公布，请学生及时查询。,真实,,演示训练数据（合成样例）,2026-08-15 11:00:00,
【演示数据·合成】市图书馆官方公告：本周六举办读书分享会，需在公众号预约报名。,真实,,演示训练数据（合成样例）,2026-08-16 14:00:00,
【演示数据·合成】官方发布通知，本市居民医保缴费通道已开启，可在政务平台办理。,真实,,演示训练数据（合成样例）,2026-08-17 09:00:00,
【演示数据·合成】市交管部门公告，明日凌晨部分路段封闭施工，请提前绕行。,真实,,演示训练数据（合成样例）,2026-08-18 16:00:00,
【演示数据·合成】气象台发布寒潮橙色预警，官方提醒农业部门做好防冻措施。,真实,,演示训练数据（合成样例）,2026-08-19 20:00:00,
【演示数据·合成】市疾控中心官方发布说明，流感疫苗接种点名单已公布在官网。,真实,,演示训练数据（合成样例）,2026-08-20 10:30:00,
【演示数据·合成】学校官网通知，国庆假期图书馆开放时间安排已发布，请查收。,真实,,演示训练数据（合成样例）,2026-08-21 15:00:00,
【演示数据·合成】市水务集团公告，本周日计划检修管网，部分区域将降压供水。,真实,,演示训练数据（合成样例）,2026-08-22 08:40:00,
【演示数据·合成】官方公告：本市新增两条夜间公交线路，今晚起试运行。,真实,,演示训练数据（合成样例）,2026-08-23 19:00:00,
【演示数据·合成】市教育局发布通知，中小学期末考试时间安排已在官网公布。,真实,,演示训练数据（合成样例）,2026-08-24 09:20:00,
