ref,message_content,parent_ref,content,publish_time
C1,【演示数据·合成】网传本地水源被污染，紧急扩散通知亲友囤水，据说官方已封锁消息。,,这消息没有任何官方来源，别再转发了,2026-08-01 10:00:00
C2,【演示数据·合成】网传本地水源被污染，紧急扩散通知亲友囤水，据说官方已封锁消息。,C1,查了官网和水务集团公告，都没有这条通知,2026-08-01 10:30:00
C3,【演示数据·合成】网传本地水源被污染，紧急扩散通知亲友囤水，据说官方已封锁消息。,,假的，官方已经辟谣了，请勿轻信网传消息,2026-08-01 11:00:00
C4,【演示数据·合成】听说某地明天要大停电，据说消息来自内部人士，请大家紧急扩散。,,又是听说，没有任何官方渠道发布,2026-08-03 09:20:00
C5,【演示数据·合成】听说某地明天要大停电，据说消息来自内部人士，请大家紧急扩散。,C4,对，电网官网查过了，没有停电通知,2026-08-03 09:40:00
C6,【演示数据·合成】听说某地明天要大停电，据说消息来自内部人士，请大家紧急扩散。,,转发前先核实出处，这类网传基本都是假的,2026-08-03 10:00:00
C7,【演示数据·合成】紧急扩散：网传高速路口今天起全面收费上调，请互相转告。,,官方公示里没有这个调整，属于网传谣言,2026-08-05 12:00:00
C8,【演示数据·合成】紧急扩散：网传高速路口今天起全面收费上调，请互相转告。,C7,刚查了交通部门官网，确实没有该消息,2026-08-05 12:30:00
C9,【演示数据·合成】听说某种洗发水含有害物质会致癌，网传检测报告实为拼凑伪造。,,所谓检测报告是拼凑伪造的，官方已辟谣,2026-08-07 14:00:00
C10,【演示数据·合成】听说某种洗发水含有害物质会致癌，网传检测报告实为拼凑伪造。,,这类致癌传闻没有科学依据，别信网传,2026-08-07 14:30:00
C11,【演示数据·合成】据说某品牌牛奶明天全线召回，网传消息无任何官方来源。,,官网没有召回公告，据说源头是营销号,2026-08-09 16:00:00
C12,【演示数据·合成】据说某品牌牛奶明天全线召回，网传消息无任何官方来源。,C11,核实过了，公司官方渠道没有任何召回通知,2026-08-09 16:20:00
C13,【演示数据·合成】网传小区附近出现人贩子出没，警方表示未接到相关报警，请勿传谣。,,警方官方账号已辟谣，未接到相关报警,2026-08-11 08:20:00
C14,【演示数据·合成】网传小区附近出现人贩子出没，警方表示未接到相关报警，请勿传谣。,,请不要继续转发未经核实的网传消息,2026-08-11 08:50:00
C15,【演示数据·合成】市公交集团发布公告，地铁三号线本月二十日起延长运营至二十三时。,,官网确实发布了这条公告,2026-08-13 09:10:00
C16,【演示数据·合成】市公交集团发布公告，地铁三号线本月二十日起延长运营至二十三时。,C15,已按公告提示查询了时刻表，属实,2026-08-13 09:30:00
C17,【演示数据·合成】市气象台今日发布大风蓝色预警，官方提醒市民注意防范。,,气象台官网能查到这条预警，属实,2026-08-14 10:00:00
C18,【演示数据·合成】市气象台今日发布大风蓝色预警，官方提醒市民注意防范。,,官方发布的通知，可以放心,2026-08-14 10:20:00
C19,【演示数据·合成】本校教务处官网发布通知，期中考试安排已公布，请学生及时查询。,,教务处官网确实发了通知,2026-08-15 11:00:00
C20,【演示数据·合成】本校教务处官网发布通知，期中考试安排已公布，请学生及时查询。,C19,已按通知登录查询，安排属实,2026-08-15 11:30:00
C21,【演示数据·合成】官方发布通知，本市居民医保缴费通道已开启，可在政务平台办理。,,政务平台上确实有这个缴费通知,2026-08-17 09:00:00
C22,【演示数据·合成】官方发布通知，本市居民医保缴费通道已开启，可在政务平台办理。,,官方公告属实，已办理完成,2026-08-17 09:40:00
C23,【演示数据·合成】气象台发布寒潮橙色预警，官方提醒农业部门做好防冻措施。,,气象台官方预警，属实,2026-08-19 20:00:00
C24,【演示数据·合成】气象台发布寒潮橙色预警，官方提醒农业部门做好防冻措施。,C23,官网预警信息可查，已提醒家人防范,2026-08-19 20:30:00
C25,【演示数据·合成】学校官网通知，国庆假期图书馆开放时间安排已发布，请查收。,,学校官网通知，已查到，属实,2026-08-21 15:00:00
C26,【演示数据·合成】学校官网通知，国庆假期图书馆开放时间安排已发布，请查收。,,按通知在公众号预约成功了,2026-08-21 15:30:00
C27,【演示数据·合成】网传本市明天起自来水将停供三天，请家家储水。经查该消息无任何权威来源，仅用于演示平台功能。,,已向水务集团核实，官方表示没有停水计划,2026-09-01 12:00:00
C28,【演示数据·合成】网传本市明天起自来水将停供三天，请家家储水。经查该消息无任何权威来源，仅用于演示平台功能。,C27,官网也没有任何停水公告，大家别囤水了,2026-09-01 12:40:00
C29,【演示数据·合成】网传本市明天起自来水将停供三天，请家家储水。经查该消息无任何权威来源，仅用于演示平台功能。,,这类网传消息请先核实再转发,2026-09-01 13:10:00
C30,【演示数据·合成】市气象台今日发布暴雨蓝色预警，提醒市民减少不必要的外出。,,气象台官网确实发布了这条预警,2026-09-02 11:00:00
C31,【演示数据·合成】市气象台今日发布暴雨蓝色预警，提醒市民减少不必要的外出。,C30,属实，官方公众号也推送了,2026-09-02 11:30:00
